,CAGR  by  P/FCF,-0.2134067062444217,0.04630690677482885,,,P/FCF +caja,,,-107.31862337308146,-271.403131449774,44.25973101280209,312.4191164943759,560.6934984044445,802.6493912643101,Multiple P/FCF,,
,CAGR by EV/EBITDA,0.12254690702849802,0.14603186023552295,,,EV/EBITDA,,,645.1963207673996,666.1192196716606,772.6982948191264,911.155186825397,1074.421646903153,1266.9432079469643,Multiple EV/EBITDA,,
,CAGR  by EV/EBIT,0.0718566007554714,0.11469237099358709,,,EV/EBIT,,,575.1478739255444,579.6734534125562,672.4212059585653,792.9098247640778,934.9883445617294,1102.5253782501602,Multiple EV/EBIT,,
,,,,,,Free cashflow yield,,,0.01417834947816069,0.060725430041932496,0.018781284507613436,0.04941231331230548,0.0515191748773753,0.052230689485463486,,,
,,,,,,FCF/EBITDA,,,-0.13073968968078298,,,,,,,,
,,,,,,LTM P/E,,,21.09109306751214,,,,,,,,
,,,,,,NTM P/E,,,17.3421245131291,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,2026,2027,2028,2029,2030,2031,,,
,,,,,,,Multiple PER,,19,21,23,24,25,25,,,
,,,,,,,Multiple P/FCF,,18,20,22,24,25,25,,,
,,,,,,,Multiple EV/EBITDA,,12,13,14,15,16,16,,,
,,,,,,,Multiple EV/EBIT,,13,14,16,17,18,18,,,


